COUNTRY,YEAR,UEQUAL,UEDUR,UEWAIT,UECOV
"Australia",1990,0,999,7,1
"Australia",1991,0,999,7,1
"Australia",1992,0,999,7,1
"Australia",1993,0,999,7,1
"Australia",1994,0,999,7,1
"Australia",1995,0,999,7,1
"Australia",1996,0,999,7,1
"Australia",1997,0,999,7,1
"Australia",1998,0,999,7,1
"Australia",1999,0,999,7,1
"Australia",2000,0,999,7,1
"Australia",2001,0,999,7,1
"Australia",2002,0,999,7,1
"Australia",2003,0,999,7,1
"Australia",2004,0,999,7,1
"Australia",2005,0,999,7,1
"Australia",2006,0,999,7,1
"Australia",2007,0,999,7,1
"Australia",2008,0,999,7,1
"Australia",2009,0,999,7,1
"Australia",2010,0,999,7,1
"Australia",2011,0,999,7,1
"Austria",1990,312,39,0,0.89
"Austria",1991,312,39,0,0.89
"Austria",1992,312,39,0,0.89
"Austria",1993,312,39,0,0.89
"Austria",1994,312,39,0,0.86
"Austria",1995,312,39,0,0.86
"Austria",1996,312,39,0,0.86
"Austria",1997,312,39,0,0.86
"Austria",1998,312,39,0,0.86
"Austria",1999,312,39,0,0.86
"Austria",2000,312,39,0,0.86
"Austria",2001,312,39,0,0.86
"Austria",2002,312,39,0,0.86
"Austria",2003,312,39,0,0.86
"Austria",2004,312,39,0,0.86
"Austria",2005,312,39,0,0.86
"Austria",2006,312,39,0,0.86
"Austria",2007,312,39,0,0.86
"Austria",2008,312,39,0,0.86
"Austria",2009,312,39,0,0.86
"Austria",2010,312,39,0,0.86
"Austria",2011,312,39,0,
"Belgium",1990,75,999,0,0.84
"Belgium",1991,75,999,0,0.84
"Belgium",1992,75,999,0,0.84
"Belgium",1993,78,999,0,0.84
"Belgium",1994,78,999,0,0.84
"Belgium",1995,78,999,0,0.84
"Belgium",1996,78,999,0,0.84
"Belgium",1997,78,999,0,0.84
"Belgium",1998,78,999,0,0.84
"Belgium",1999,78,999,0,0.83
"Belgium",2000,78,999,0,0.85
"Belgium",2001,78,999,0,0.86
"Belgium",2002,78,999,0,0.86
"Belgium",2003,78,999,0,0.86
"Belgium",2004,78,999,0,0.86
"Belgium",2005,78,999,0,0.86
"Belgium",2006,78,999,0,0.86
"Belgium",2007,78,999,0,0.86
"Belgium",2008,78,999,0,0.87
"Belgium",2009,78,999,0,0.86
"Belgium",2010,78,999,0,
"Belgium",2011,78,999,1,
"Canada",1990,52,50,14,0.86
"Canada",1991,52,49,14,0.85
"Canada",1992,52,49,14,0.84
"Canada",1993,52,49,14,0.82
"Canada",1994,52,44,14,0.82
"Canada",1995,52,42,14,0.82
"Canada",1996,52,42,14,0.81
"Canada",1997,45,44,14,0.8
"Canada",1998,45,42,14,0.8
"Canada",1999,45,40,14,0.81
"Canada",2000,45,38,14,0.82
"Canada",2001,45,40,14,0.83
"Canada",2002,45,40,14,0.82
"Canada",2003,45,40,14,0.82
"Canada",2004,45,40,14,0.82
"Canada",2005,45,38,14,0.82
"Canada",2006,45,38,14,0.83
"Canada",2007,45,38,14,0.83
"Canada",2008,45,38,14,0.83
"Canada",2009,45,42,14,0.82
"Canada",2010,45,42,14,0.82
"Canada",2011,45,40,14,
"Denmark",1990,52,442,0,0.71
"Denmark",1991,52,442,0,0.72
"Denmark",1992,52,442,0,0.78
"Denmark",1993,52,442,0,0.8
"Denmark",1994,52,364,0,0.84
"Denmark",1995,52,364,0,0.85
"Denmark",1996,52,260,0,
"Denmark",1997,52,260,0,0.83
"Denmark",1998,52,260,0,0.84
"Denmark",1999,52,208,0,0.83
"Denmark",2000,52,208,0,0.83
"Denmark",2001,52,208,0,0.82
"Denmark",2002,52,208,0,0.83
"Denmark",2003,52,208,0,0.82
"Denmark",2004,52,208,0,0.81
"Denmark",2005,52,208,0,0.79
"Denmark",2006,52,208,0,0.79
"Denmark",2007,52,208,0,0.78
"Denmark",2008,52,208,0,0.7
"Denmark",2009,52,208,0,0.71
"Denmark",2010,52,104,0,0.71
"Denmark",2011,52,104,0,0.71
"Finland",1990,26,100,5,0.67
"Finland",1991,26,100,5,0.69
"Finland",1992,26,100,5,0.73
"Finland",1993,26,100,5,0.74
"Finland",1994,26,100,5,0.75
"Finland",1995,26,100,5,0.75
"Finland",1996,26,100,5,0.75
"Finland",1997,43,100,7,0.76
"Finland",1998,43,100,7,0.75
"Finland",1999,43,100,7,0.74
"Finland",2000,43,100,7,0.74
"Finland",2001,43,100,7,0.74
"Finland",2002,43,100,7,0.74
"Finland",2003,43,100,7,0.75
"Finland",2004,43,100,7,0.75
"Finland",2005,43,100,7,0.75
"Finland",2006,43,100,7,0.74
"Finland",2007,43,100,7,0.73
"Finland",2008,43,100,7,0.73
"Finland",2009,43,100,7,0.74
"Finland",2010,34,100,7,0.74
"Finland",2011,34,100,7,0.753
"France",1990,104,195,0,0.81
"France",1991,104,195,0,0.81
"France",1992,104,195,0,0.81
"France",1993,61,39,7,0.82
"France",1994,61,39,7,0.83
"France",1995,61,39,7,0.83
"France",1996,61,39,7,0.83
"France",1997,61,39,7,0.84
"France",1998,61,39,7,0.84
"France",1999,61,39,7,0.85
"France",2000,61,39,7,0.87
"France",2001,61,39,7,0.87
"France",2002,61,130,7,0.87
"France",2003,61,100,7,0.87
"France",2004,61,100,7,0.87
"France",2005,61,100,7,0.87
"France",2006,61,100,7,0.87
"France",2007,69,100,7,0.88
"France",2008,69,100,7,0.87
"France",2009,104,104,7,0.87
"France",2010,104,104,7,
"France",2011,104,104,7,
"Germany",1990,104,52,0,0.88
"Germany",1991,104,52,0,0.91
"Germany",1992,104,52,0,0.9
"Germany",1993,104,52,0,0.89
"Germany",1994,104,52,0,0.88
"Germany",1995,104,52,0,0.87
"Germany",1996,104,52,0,0.86
"Germany",1997,104,52,0,0.85
"Germany",1998,104,52,0,0.83
"Germany",1999,104,52,0,0.84
"Germany",2000,104,52,0,0.86
"Germany",2001,104,52,0,0.85
"Germany",2002,104,52,0,0.85
"Germany",2003,104,52,0,0.84
"Germany",2004,104,52,0,0.82
"Germany",2005,104,52,0,0.78
"Germany",2006,104,52,0,0.77
"Germany",2007,104,52,0,0.77
"Germany",2008,104,52,0,0.78
"Germany",2009,104,52,0,0.78
"Germany",2010,104,52,0,0.76
"Germany",2011,104,52,0,
"Ireland",1990,48,65,18,
"Ireland",1991,48,65,18,
"Ireland",1992,39,65,18,
"Ireland",1993,39,65,18,0.76
"Ireland",1994,39,65,18,0.78
"Ireland",1995,39,65,18,0.8
"Ireland",1996,39,65,3,0.92
"Ireland",1997,39,65,3,0.98
"Ireland",1998,39,65,3,0.96
"Ireland",1999,39,65,3,1
"Ireland",2000,39,65,3,1.01
"Ireland",2001,39,65,3,1.01
"Ireland",2002,39,65,3,1.03
"Ireland",2003,39,65,3,1.06
"Ireland",2004,260,65,3,1.07
"Ireland",2005,260,65,3,1.07
"Ireland",2006,260,65,3,1.08
"Ireland",2007,260,65,3,1.09
"Ireland",2008,260,52,3,1.07
"Ireland",2009,260,52,3,1.02
"Ireland",2010,260,52,3,1.02
"Ireland",2011,260,52,3,
"Italy",1990,104,26,7,
"Italy",1991,104,26,7,
